episode,reward,rolling_reward_50,epsilon,mean_loss,acceptance_rate,action_0,action_1,action_2,action_3,action_4
1,285.7003805139706,285.7003805139706,0.9907777271628829,0.0,0.75,4,1,2,1,4
2,131.95384675258353,208.82711363327707,0.9649996151213335,0.0,0.75,2,2,1,3,4
3,82.53318975892398,166.7291390084927,0.9240041165478444,0.0,0.3333333333333333,1,1,2,4,4
4,39.544915590418725,134.93308315397422,0.8698849441747556,0.0,0.16666666666666666,3,2,3,1,3
5,191.90666726184784,146.32779997554894,0.8053136955519588,0.0,0.5,5,1,2,1,3
6,285.74156940700016,169.56342821412414,0.7333212633409554,0.0,0.75,5,2,1,2,2
7,297.23301604562425,187.8019407614813,0.6570629317067814,0.0,0.5,7,2,2,0,1
8,31.466398275286267,168.25999795070692,0.5795923942044728,0.0,0.08333333333333333,9,0,1,1,1
9,74.48857117707286,157.84095053141425,0.5036668149865501,0.0,0.3333333333333333,3,2,2,3,2
10,116.21105208638494,153.67796068691132,0.43159924087073875,0.0,0.3333333333333333,9,0,0,0,3
11,215.33908282407367,159.28351724483517,0.36516729126975866,0.0,0.4166666666666667,10,0,1,0,1
12,83.74711784872791,152.98881729515955,0.3055793833240285,0.0,0.25,7,2,1,0,2
13,175.27861291785578,154.70341695844388,0.2534929630567075,0.0,0.5,9,1,1,1,0
14,205.0636498446582,158.30057645031633,0.2090741796440222,0.0,0.5833333333333334,9,0,0,1,2
15,154.35093632015656,158.03726710830566,0.17208561368317876,0.0,0.3333333333333333,11,0,0,0,1
16,78.8393090735984,153.08739473113647,0.1419880761204162,0.0,0.3333333333333333,11,0,0,1,0
17,202.66302944443694,156.00360853780123,0.1180437963027197,0.0,0.4166666666666667,12,0,0,0,0
18,97.01494646661119,152.7264606449573,0.09941094499385517,0.0,0.16666666666666666,10,0,0,0,2
19,192.70198420753155,154.83043556930332,0.0852227321375601,0.0,0.4166666666666667,12,0,0,0,0
20,31.498710037923857,148.66384929273437,0.07464766426525417,0.0,0.16666666666666666,12,0,0,0,0
21,190.17793012194102,150.64071028460134,0.06693046568696279,0.0,0.3333333333333333,11,0,0,1,0
22,114.65752568166126,149.0051109844677,0.0614153691270571,0.0,0.4166666666666667,10,0,1,0,1
23,210.73122471733464,151.68885505980975,0.057554859880944984,0.0,0.5833333333333334,11,0,0,0,1
24,101.4928228633626,149.5973537182911,0.05490756100035549,0.0,0.16666666666666666,11,1,0,0,0
25,93.1409613424029,147.3390980232556,0.053128925603203314,0.0,0.25,12,0,0,0,0
26,0.0,141.67220963774574,0.051957953466342376,0.0,0.0,12,0,0,0,0
27,272.88589770847807,146.5319758625877,0.051202470455018766,0.0,0.5833333333333334,12,0,0,0,0
28,34.60075341052865,142.5344322035856,0.05072476742248329,0.0,0.08333333333333333,11,1,0,0,0
29,92.11107107149786,140.79569561282395,0.05042870875859713,0.0,0.3333333333333333,11,0,1,0,0
30,71.70582412558218,138.49269989658254,0.05024885862253606,0.0,0.25,12,0,0,0,0
